['Stukely', -72.23477434333333, 45.36381181833333, '2022-09-03', '02-04-33', '06_05_27', 'Stukely_Day14_2022-09-03_02-04-33_picNo_160_M45.36381181833333_N-72.23477434333333_T06_05_27.200000.png', []],
['Stukely', -72.23477467833334, 45.36381235, '2022-09-03', '02-04-33', '06_05_28', 'Stukely_Day14_2022-09-03_02-04-33_picNo_162_M45.36381235_N-72.23477467833334_T06_05_28.200000.png', []],
['Stukely', -72.23477467833334, 45.36381235, '2022-09-03', '02-04-33', '06_05_28', 'Stukely_Day14_2022-09-03_02-04-33_picNo_163_M45.36381235_N-72.23477467833334_T06_05_28.200000.png', []],
['Stukely', -72.23477502833333, 45.36381280333333, '2022-09-03', '02-04-33', '06_05_29', 'Stukely_Day14_2022-09-03_02-04-33_picNo_165_M45.36381280333333_N-72.23477502833333_T06_05_29.200000.png', []],
['Stukely', -72.23477502833333, 45.36381280333333, '2022-09-03', '02-04-33', '06_05_29', 'Stukely_Day14_2022-09-03_02-04-33_picNo_166_M45.36381280333333_N-72.23477502833333_T06_05_29.200000.png', []],
['Stukely', -72.23477532166666, 45.36381330166667, '2022-09-03', '02-04-33', '06_05_30', 'Stukely_Day14_2022-09-03_02-04-33_picNo_168_M45.36381330166667_N-72.23477532166666_T06_05_30.200000.png', []],
['Stukely', -72.23477532166666, 45.36381330166667, '2022-09-03', '02-04-33', '06_05_30', 'Stukely_Day14_2022-09-03_02-04-33_picNo_169_M45.36381330166667_N-72.23477532166666_T06_05_30.200000.png', []],
['Stukely', -72.234775635, 45.36381374, '2022-09-03', '02-04-33', '06_05_31', 'Stukely_Day14_2022-09-03_02-04-33_picNo_171_M45.36381374_N-72.234775635_T06_05_31.200000.png', []],
['Stukely', -72.234775635, 45.36381374, '2022-09-03', '02-04-33', '06_05_31', 'Stukely_Day14_2022-09-03_02-04-33_picNo_172_M45.36381374_N-72.234775635_T06_05_31.200000.png', []],
['Stukely', -72.234775995, 45.363814258333335, '2022-09-03', '02-04-33', '06_05_32', 'Stukely_Day14_2022-09-03_02-04-33_picNo_174_M45.363814258333335_N-72.234775995_T06_05_32.200000.png', []],
['Stukely', -72.234775995, 45.363814258333335, '2022-09-03', '02-04-33', '06_05_32', 'Stukely_Day14_2022-09-03_02-04-33_picNo_175_M45.363814258333335_N-72.234775995_T06_05_32.200000.png', []],
['Stukely', -72.23477639833334, 45.363814735, '2022-09-03', '02-04-33', '06_05_33', 'Stukely_Day14_2022-09-03_02-04-33_picNo_177_M45.363814735_N-72.23477639833334_T06_05_33.200000.png', []],
['Stukely', -72.23477639833334, 45.363814735, '2022-09-03', '02-04-33', '06_05_33', 'Stukely_Day14_2022-09-03_02-04-33_picNo_178_M45.363814735_N-72.23477639833334_T06_05_33.200000.png', []],
['Stukely', -72.23477677666666, 45.363815196666664, '2022-09-03', '02-04-33', '06_05_34', 'Stukely_Day14_2022-09-03_02-04-33_picNo_180_M45.363815196666664_N-72.23477677666666_T06_05_34.200000.png', []],
['Stukely', -72.23477677666666, 45.363815196666664, '2022-09-03', '02-04-33', '06_05_34', 'Stukely_Day14_2022-09-03_02-04-33_picNo_181_M45.363815196666664_N-72.23477677666666_T06_05_34.200000.png', []],
['Stukely', -72.23477718833334, 45.363815728333336, '2022-09-03', '02-04-33', '06_05_35', 'Stukely_Day14_2022-09-03_02-04-33_picNo_183_M45.363815728333336_N-72.23477718833334_T06_05_35.200000.png', []],
['Stukely', -72.23477718833334, 45.363815728333336, '2022-09-03', '02-04-33', '06_05_35', 'Stukely_Day14_2022-09-03_02-04-33_picNo_184_M45.363815728333336_N-72.23477718833334_T06_05_35.200000.png', []],
['Stukely', -72.23477757, 45.363816275, '2022-09-03', '02-04-33', '06_05_36', 'Stukely_Day14_2022-09-03_02-04-33_picNo_186_M45.363816275_N-72.23477757_T06_05_36.200000.png', []],
['Stukely', -72.23477757, 45.363816275, '2022-09-03', '02-04-33', '06_05_36', 'Stukely_Day14_2022-09-03_02-04-33_picNo_187_M45.363816275_N-72.23477757_T06_05_36.200000.png', []],
['Stukely', -72.23477791833334, 45.363816803333336, '2022-09-03', '02-04-33', '06_05_37', 'Stukely_Day14_2022-09-03_02-04-33_picNo_189_M45.363816803333336_N-72.23477791833334_T06_05_37.200000.png', []],
['Stukely', -72.23477791833334, 45.363816803333336, '2022-09-03', '02-04-33', '06_05_37', 'Stukely_Day14_2022-09-03_02-04-33_picNo_190_M45.363816803333336_N-72.23477791833334_T06_05_37.200000.png', []],
['Stukely', -72.23477827166667, 45.363817338333334, '2022-09-03', '02-04-33', '06_05_38', 'Stukely_Day14_2022-09-03_02-04-33_picNo_192_M45.363817338333334_N-72.23477827166667_T06_05_38.200000.png', []],
['Stukely', -72.23477827166667, 45.363817338333334, '2022-09-03', '02-04-33', '06_05_38', 'Stukely_Day14_2022-09-03_02-04-33_picNo_193_M45.363817338333334_N-72.23477827166667_T06_05_38.200000.png', []],
